PING 20.90.92.58 (20.90.92.58) 56(84) bytes of data.
64 bytes from 20.90.92.58: icmp_seq=83 ttl=51 time=116 ms
64 bytes from 20.90.92.58: icmp_seq=84 ttl=51 time=66.8 ms
64 bytes from 20.90.92.58: icmp_seq=85 ttl=51 time=81.5 ms
64 bytes from 20.90.92.58: icmp_seq=86 ttl=51 time=83.1 ms
64 bytes from 20.90.92.58: icmp_seq=87 ttl=51 time=108 ms
64 bytes from 20.90.92.58: icmp_seq=88 ttl=51 time=123 ms
64 bytes from 20.90.92.58: icmp_seq=89 ttl=51 time=69.6 ms
64 bytes from 20.90.92.58: icmp_seq=90 ttl=51 time=69.3 ms
64 bytes from 20.90.92.58: icmp_seq=91 ttl=51 time=96.1 ms
64 bytes from 20.90.92.58: icmp_seq=92 ttl=51 time=118 ms
64 bytes from 20.90.92.58: icmp_seq=93 ttl=51 time=69.2 ms
64 bytes from 20.90.92.58: icmp_seq=94 ttl=51 time=64.5 ms
64 bytes from 20.90.92.58: icmp_seq=95 ttl=51 time=88.4 ms
64 bytes from 20.90.92.58: icmp_seq=96 ttl=51 time=113 ms
64 bytes from 20.90.92.58: icmp_seq=97 ttl=51 time=69.7 ms
64 bytes from 20.90.92.58: icmp_seq=98 ttl=51 time=82.6 ms
64 bytes from 20.90.92.58: icmp_seq=99 ttl=51 time=81.0 ms
64 bytes from 20.90.92.58: icmp_seq=100 ttl=51 time=106 ms
64 bytes from 20.90.92.58: icmp_seq=101 ttl=51 time=62.5 ms
64 bytes from 20.90.92.58: icmp_seq=102 ttl=51 time=78.5 ms
64 bytes from 20.90.92.58: icmp_seq=103 ttl=51 time=75.3 ms
64 bytes from 20.90.92.58: icmp_seq=104 ttl=51 time=98.1 ms
64 bytes from 20.90.92.58: icmp_seq=105 ttl=51 time=123 ms
64 bytes from 20.90.92.58: icmp_seq=106 ttl=51 time=66.8 ms
64 bytes from 20.90.92.58: icmp_seq=107 ttl=51 time=68.2 ms
64 bytes from 20.90.92.58: icmp_seq=108 ttl=51 time=93.4 ms
64 bytes from 20.90.92.58: icmp_seq=109 ttl=51 time=116 ms
64 bytes from 20.90.92.58: icmp_seq=110 ttl=51 time=71.4 ms
64 bytes from 20.90.92.58: icmp_seq=111 ttl=51 time=81.7 ms
64 bytes from 20.90.92.58: icmp_seq=112 ttl=51 time=84.2 ms
64 bytes from 20.90.92.58: icmp_seq=113 ttl=51 time=109 ms
64 bytes from 20.90.92.58: icmp_seq=114 ttl=51 time=63.6 ms
64 bytes from 20.90.92.58: icmp_seq=115 ttl=51 time=74.7 ms
64 bytes from 20.90.92.58: icmp_seq=116 ttl=51 time=76.8 ms
64 bytes from 20.90.92.58: icmp_seq=117 ttl=51 time=101 ms
64 bytes from 20.90.92.58: icmp_seq=118 ttl=51 time=125 ms
64 bytes from 20.90.92.58: icmp_seq=119 ttl=51 time=70.8 ms
64 bytes from 20.90.92.58: icmp_seq=120 ttl=51 time=70.9 ms
64 bytes from 20.90.92.58: icmp_seq=121 ttl=51 time=93.4 ms
64 bytes from 20.90.92.58: icmp_seq=122 ttl=51 time=118 ms
64 bytes from 20.90.92.58: icmp_seq=123 ttl=51 time=67.7 ms
64 bytes from 20.90.92.58: icmp_seq=124 ttl=51 time=82.8 ms
64 bytes from 20.90.92.58: icmp_seq=125 ttl=51 time=87.0 ms
64 bytes from 20.90.92.58: icmp_seq=126 ttl=51 time=111 ms
64 bytes from 20.90.92.58: icmp_seq=127 ttl=51 time=66.7 ms
64 bytes from 20.90.92.58: icmp_seq=128 ttl=51 time=84.2 ms
64 bytes from 20.90.92.58: icmp_seq=129 ttl=51 time=84.4 ms
64 bytes from 20.90.92.58: icmp_seq=130 ttl=51 time=105 ms
64 bytes from 20.90.92.58: icmp_seq=131 ttl=51 time=66.8 ms
64 bytes from 20.90.92.58: icmp_seq=132 ttl=51 time=76.8 ms
64 bytes from 20.90.92.58: icmp_seq=133 ttl=51 time=73.7 ms
64 bytes from 20.90.92.58: icmp_seq=134 ttl=51 time=97.8 ms
64 bytes from 20.90.92.58: icmp_seq=135 ttl=51 time=121 ms
64 bytes from 20.90.92.58: icmp_seq=136 ttl=51 time=70.6 ms
64 bytes from 20.90.92.58: icmp_seq=137 ttl=51 time=67.1 ms
64 bytes from 20.90.92.58: icmp_seq=138 ttl=51 time=90.3 ms
64 bytes from 20.90.92.58: icmp_seq=139 ttl=51 time=115 ms
64 bytes from 20.90.92.58: icmp_seq=140 ttl=51 time=66.9 ms
64 bytes from 20.90.92.58: icmp_seq=141 ttl=51 time=80.9 ms
64 bytes from 20.90.92.58: icmp_seq=142 ttl=51 time=104 ms
64 bytes from 20.90.92.58: icmp_seq=143 ttl=51 time=108 ms
64 bytes from 20.90.92.58: icmp_seq=144 ttl=51 time=132 ms
64 bytes from 20.90.92.58: icmp_seq=145 ttl=51 time=75.8 ms
64 bytes from 20.90.92.58: icmp_seq=146 ttl=51 time=78.0 ms
